Time,Lat,Lon
11/10/2007 6:00,9.6,93.2
11/10/2007 12:00,9.7,93.1
11/10/2007 18:00,9.7,93
11/11/2007 0:00,9.7,92.9
11/11/2007 6:00,9.8,92.7
11/11/2007 12:00,9.9,92.6
11/11/2007 18:00,10,92.5
11/12/2007 0:00,10.1,92.4
11/12/2007 6:00,10.1,92.2
11/12/2007 12:00,10.1,92.1
11/12/2007 18:00,10.1,91.9
11/13/2007 0:00,10.1,91.8
11/13/2007 6:00,10.4,91.5
11/13/2007 12:00,10.4,91.3
11/13/2007 18:00,10.5,91.2
11/14/2007 0:00,10.5,90.8
11/14/2007 6:00,10.9,90.5
11/14/2007 12:00,10.9,90.4
11/14/2007 18:00,11.3,90.1
11/15/2007 0:00,11.4,90
11/15/2007 6:00,11.6,90
11/15/2007 12:00,11.6,90
11/15/2007 18:00,12,89.7
11/16/2007 0:00,12.1,89.7
11/16/2007 6:00,12.3,89.7
11/16/2007 12:00,12.9,89.6
11/16/2007 18:00,13,89.6
11/17/2007 0:00,13.2,89.5
11/17/2007 6:00,13.6,89.5
11/17/2007 12:00,14,89.5
11/17/2007 18:00,14.4,89.5
11/18/2007 0:00,14.6,89.4
11/18/2007 6:00,15,89.4
11/18/2007 12:00,15.4,89.4
11/18/2007 18:00,15.9,89.1
11/19/2007 0:00,16.1,89.1
11/19/2007 6:00,16.6,89.1
11/19/2007 12:00,17.1,89.1
11/19/2007 18:00,17.7,89.1
11/20/2007 0:00,18.3,89.1
11/20/2007 6:00,19.4,89.1
11/20/2007 12:00,20.1,89.1
11/20/2007 18:00,21,89.2
11/21/2007 0:00,21.6,89.6
11/21/2007 6:00,22.5,90.4
11/21/2007 12:00,23.5,90.8
11/21/2007 18:00,23.8,91
11/22/2007 0:00,24.5,91.5
